iter	Passed	Remaining
416	2791	3903
417	2798	3895
418	2805	3889
419	2811	3882
420	2817	3875
421	2823	3867
422	2830	3860
423	2836	3853
424	2842	3845
425	2848	3838
426	2855	3831
427	2860	3823
428	2867	3817
429	2874	3809
430	2881	3803
431	2887	3795
432	2893	3789
433	2899	3781
434	2906	3774
435	2913	3768
436	2919	3761
437	2926	3754
438	2932	3747
439	2939	3740
440	2945	3733
441	2951	3726
442	2958	3719
443	2964	3712
444	2971	3706
445	2977	3698
446	2983	3691
447	2990	3684
448	2996	3677
449	3003	3670
450	3009	3663
451	3016	3657
452	3022	3650
453	3029	3643
454	3035	3636
455	3042	3629
456	3048	3622
457	3054	3614
458	3061	3608
459	3067	3601
460	3074	3594
461	3081	3588
462	3087	3581
463	3094	3574
464	3100	3567
465	3122	3578
466	3129	3571
467	3136	3564
468	3143	3558
469	3150	3552
470	3157	3546
471	3163	3539
472	3171	3533
473	3177	3526
474	3185	3520
475	3191	3513
476	3199	3507
477	3205	3500
478	3212	3494
479	3219	3488
480	3226	3481
481	3233	3475
482	3239	3467
483	3247	3462
484	3253	3455
485	3261	3449
486	3267	3442
487	3275	3436
488	3282	3430
489	3289	3424
490	3296	3417
491	3304	3411
492	3310	3404
493	3317	3398
494	3324	3391
495	3331	3384
496	3338	3378
497	3344	3371
498	3351	3365
499	3358	3358
500	3364	3351
501	3372	3345
502	3378	3338
503	3385	3331
504	3391	3324
505	3398	3318
506	3405	3311
507	3412	3304
508	3418	3297
509	3424	3290
510	3431	3283
511	3437	3276
512	3444	3269
513	3450	3262
514	3457	3255
515	3463	3248
516	3469	3241
517	3475	3234
518	3481	3227
519	3488	3220
520	3494	3213
521	3501	3206
522	3508	3199
523	3514	3192
524	3520	3185
525	3527	3178
526	3534	3172
527	3541	3165
528	3548	3159
529	3555	3152
530	3561	3145
531	3568	3138
532	3574	3131
533	3580	3124
534	3587	3117
535	3593	3110
536	3599	3103
537	3606	3096
538	3613	3090
539	3619	3083
540	3627	3077
541	3633	3070
542	3640	3063
543	3646	3056
544	3652	3049
545	3659	3042
546	3665	3035
547	3673	3029
548	3679	3022
549	3687	3016
550	3693	3010
551	3701	3004
552	3707	2996
553	3714	2990
554	3720	2983
555	3727	2976
556	3734	2970
557	3740	2963
558	3747	2956
559	3753	2949
560	3760	2942
561	3766	2935
562	3772	2928
563	3779	2921
564	3785	2914
565	3792	2908
566	3798	2900
567	3805	2894
568	3811	2887
569	3818	2880
570	3824	2873
571	3830	2866
572	3837	2859
573	3844	2853
574	3850	2846
575	3857	2839
576	3864	2832
577	3870	2825
578	3876	2818
579	3883	2811
580	3889	2804
581	3895	2797
582	3902	2791
583	3908	2784
584	3915	2777
585	3921	2770
586	3928	2763
587	3934	2756
588	3940	2749
589	3947	2743
590	3953	2735
591	3960	2729
592	3967	2722
593	3974	2716
594	3980	2709
595	3987	2702
596	3994	2696
597	4000	2689
598	4007	2682
599	4013	2675
600	4020	2668
601	4026	2661
602	4033	2655
603	4039	2648
604	4045	2641
605	4052	2634
606	4058	2627
607	4064	2620
608	4070	2613
609	4077	2606
610	4083	2600
611	4090	2593
612	4096	2586
613	4102	2579
614	4109	2572
615	4115	2565
616	4122	2558
617	4128	2551
618	4134	2544
619	4141	2538
620	4147	2531
621	4154	2524
622	4160	2517
623	4167	2511
624	4174	2504
625	4179	2497
626	4186	2490
627	4192	2483
628	4199	2476
629	4205	2469
630	4211	2462
631	4218	2456
632	4224	2449
633	4231	2442
634	4237	2435
635	4244	2428
636	4250	2422
637	4256	2415
638	4262	2408
639	4269	2401
640	4275	2394
641	4281	2387
642	4288	2380
643	4294	2374
644	4301	2367
645	4307	2360
646	4313	2353
647	4320	2346
648	4326	2339
649	4332	2333
650	4339	2326
651	4346	2319
652	4353	2313
653	4359	2306
654	4365	2299
655	4372	2292
656	4378	2285
657	4384	2279
658	4390	2272
659	4397	2265
660	4403	2258
661	4410	2251
662	4416	2244
663	4422	2237
664	4429	2231
665	4435	2224
666	4442	2217
667	4448	2210
668	4454	2204
669	4460	2197
670	4466	2190
671	4473	2183
672	4479	2176
673	4486	2169
674	4492	2163
675	4498	2156
676	4505	2149
677	4511	2142
678	4518	2136
679	4524	2129
680	4531	2122
681	4538	2116
