iter	RMSE
178	0.5681263348
179	0.5677325734
180	0.5675327464
181	0.5671803886
182	0.5662867598
183	0.5656338579
184	0.5650511715
185	0.5644618673
186	0.5637524401
187	0.5629271856
188	0.5622093446
189	0.5618272736
190	0.5612163079
191	0.5605189381
192	0.5598931636
193	0.5595788878
194	0.5591820764
195	0.5589694396
196	0.5584469351
197	0.5580698217
198	0.557363002
199	0.5572293991
200	0.5570128198
201	0.5565619224
202	0.5560059415
203	0.5555957996
204	0.5547563261
205	0.5540265847
206	0.5534836463
207	0.5532112447
208	0.5528440931
209	0.552541047
210	0.5521181321
211	0.5517791251
212	0.5515534329
213	0.5513039559
214	0.5505258886
215	0.5502423113
216	0.5500343408
217	0.5493961145
218	0.5488451502
219	0.548065568
220	0.5475949944
221	0.54693412
222	0.5461970693
223	0.5454623842
224	0.5452055162
225	0.5445561745
226	0.5443882675
227	0.5440076554
228	0.5433499415
229	0.5428965896
230	0.5423556277
231	0.542236624
232	0.5420957186
233	0.5416708114
234	0.5406233845
235	0.5403919391
236	0.53973018
237	0.5393542476
238	0.5388029584
239	0.5381076646
240	0.538006888
241	0.5373883411
242	0.5366496173
243	0.5364801174
244	0.5360005886
245	0.5353368366
246	0.5348795994
247	0.5342412588
248	0.5336819693
249	0.5335735602
250	0.5329415889
251	0.5324585149
252	0.532009807
253	0.531600884
254	0.5310210202
255	0.5305554513
256	0.5299820029
257	0.5293029012
258	0.5288023666
259	0.5281788567
260	0.5272379726
261	0.5268450661
262	0.5262532202
263	0.5259294976
264	0.5253983813
265	0.5247515573
266	0.5239486684
267	0.5237151116
268	0.5232341896
269	0.5223884891
270	0.5217543593
271	0.5214281192
272	0.5209782221
273	0.5200826992
274	0.5198792727
275	0.5194355953
276	0.519142782
277	0.5188353011
278	0.5183594815
279	0.5179827102
280	0.5175906422
281	0.517090695
282	0.5166769254
283	0.516077844
284	0.5154325068
285	0.5145446161
286	0.5141917123
287	0.5139027483
288	0.5132683568
289	0.5128756219
290	0.5128072085
291	0.5122922045
292	0.5118486261
293	0.5113630142
294	0.5106502281
295	0.5105624362
296	0.5104674326
297	0.5104172366
298	0.5097016506
299	0.5092960552
300	0.5092616842
301	0.5091179362
302	0.5089647647
303	0.5083218111
304	0.5078617151
305	0.5073482816
306	0.5069093923
307	0.5065355063
308	0.5062135038
309	0.5059462726
310	0.5054861346
311	0.5052480322
312	0.5045192329
313	0.5041612238
314	0.5038801776
315	0.5035601618
316	0.5030161402
317	0.5024447638
318	0.5019111591
319	0.5013961128
320	0.5008338499
321	0.5002351358
322	0.4995104671
323	0.4988518238
324	0.4984035465
325	0.4978141911
326	0.4976981564
327	0.4973368434
328	0.4969076256
329	0.496190652
330	0.4955685567
331	0.4950231307
332	0.4945364885
333	0.4941248907
334	0.4936100343
335	0.4929816425
336	0.4926277388
337	0.4920832046
338	0.4917162376
339	0.4911076851
340	0.4906607523
341	0.4905384067
342	0.4900861989
343	0.4896432317
344	0.4893042283
345	0.4892687677
346	0.488762036
347	0.4882174563
348	0.4881354133
349	0.4874971627
350	0.4872506855
351	0.4868884297
352	0.4864995701
353	0.4861324979
354	0.4860783329
355	0.485993153
356	0.4854421249
357	0.485407348
358	0.4848890518
359	0.4845485006
360	0.4839782111
361	0.4838695523
362	0.4835285996
363	0.4829051001
364	0.4825459181
365	0.4821270803
366	0.4818518825
367	0.481376311
368	0.4809117069
369	0.4804458731
370	0.4799681341
371	0.4794782512
372	0.4791207902
373	0.4786068239
374	0.4782886827
375	0.477880334
376	0.4775637874
377	0.4775257443
378	0.4771673209
379	0.476533284
380	0.4761019167
381	0.4756968523
382	0.4754757439
383	0.4750034807
384	0.4747183569
385	0.4746545893
386	0.4742027041
387	0.4736163671
388	0.4732132781
389	0.4728828173
390	0.4726279358
391	0.4719712418
392	0.471546831
393	0.4710877091
394	0.4706242537
395	0.4700834123
396	0.4695932324
397	0.469507004
398	0.4692915824
399	0.468913214
400	0.4685679905
401	0.4683049972
402	0.4680494776
403	0.4679764785
404	0.4678724151
405	0.4673803767
406	0.4671129392
407	0.466970568
408	0.4667318878
409	0.4664847389
410	0.4664207477
411	0.4662364803
412	0.465751488
413	0.4656834467
414	0.4655751241
415	0.4650420895
416	0.4648153509
417	0.4643860349
418	0.4640898292
419	0.4637224631
420	0.4636580023
421	0.4636209155
422	0.4629966619
423	0.4628255478
424	0.4627925999
425	0.4624566173
426	0.4622483415
427	0.4622120535
428	0.461971961
429	0.4614389263
430	0.4611295
431	0.4607092087
432	0.4603859194
433	0.4603264103
434	0.4595691693
435	0.4592650207
436	0.4589139058
437	0.4587096362
438	0.4582465752
439	0.4577186676
440	0.4572762033
441	0.4568999591
442	0.456581856
443	0.4563715823
444	0.4559986663
445	0.4556613349
446	0.4553735984
447	0.454816712
448	0.4547707085
449	0.4543245264
450	0.4540183678
451	0.4538361469
452	0.453407344
453	0.453377479
454	0.4529739996
455	0.4525336446
456	0.4522691616
457	0.4517578718
458	0.4514691541
459	0.451217246
460	0.4510152471
461	0.4509579314
462	0.450631122
463	0.4501067516
464	0.4499221332
465	0.4495579668
466	0.4490691232
467	0.4487569723
468	0.4484203417
469	0.4481332087
470	0.4476859265
471	0.4472819449
472	0.4470912565
473	0.4470284831
474	0.4465892485
475	0.4462634844
476	0.4458659303
477	0.445369222
478	0.4448312032
479	0.4440901207
480	0.4435430662
481	0.443090598
482	0.442864664
483	0.4426322288
484	0.4424303761
485	0.4419402075
486	0.4414340585
487	0.4411749228
488	0.4408178528
489	0.4405786146
490	0.4401066627
491	0.4396586763
492	0.4389168058
493	0.4385689369
494	0.4384067373
495	0.4378688675
496	0.4376431345
497	0.4373972012
498	0.4369996342
499	0.4368707827
500	0.4368431991
501	0.4366419817
502	0.4363711614
503	0.436192661
504	0.4359755147
505	0.4357650096
506	0.4354243863
507	0.4349150493
508	0.434576416
509	0.4342239381
510	0.4340437021
511	0.4337215385
512	0.4336821741
513	0.4331869247
514	0.4328392764
515	0.4328083649
516	0.4326811822
517	0.4324470125
518	0.4324270463
519	0.4322169558
520	0.4317482289
521	0.4314295209
522	0.4312616951
523	0.4310152541
524	0.4305875541
525	0.4302314926
526	0.4297882
527	0.4294986411
528	0.4292811584
529	0.4288889244
530	0.4287715691
531	0.4285358217
532	0.4284101321
533	0.4281430955
534	0.4278107351
535	0.4276976378
536	0.4272148424
537	0.4269729053
538	0.4267949087
539	0.4264948953
540	0.4261723696
541	0.425821529
542	0.4258001409
543	0.4257702303
544	0.4257509332
545	0.4254625728
546	0.4249724168
547	0.4246873357
548	0.4242320194
549	0.4237707281
550	0.4233957439
551	0.423220613
552	0.4227333804
553	0.4223316489
554	0.4218874977
555	0.4214699832
556	0.4211057622
557	0.42077716
558	0.420729455
559	0.4203377065
560	0.4197808759
561	0.4197572179
562	0.4193759605
563	0.4190766231
564	0.4186256893
565	0.4183662407
566	0.4179421187
567	0.4177343463
568	0.4174694125
569	0.4174271437
570	0.4170943954
571	0.4170167519
572	0.4165366759
573	0.4161010044
574	0.4156374991
575	0.4151447611
576	0.41482385
577	0.4145382059
578	0.4143760796
579	0.4143359626
580	0.4141319185
581	0.4138757295
582	0.4135794535
583	0.4131994113
584	0.4129203709
585	0.4125598991
586	0.4123810357
587	0.4120311686
588	0.4118057465
589	0.4114280733
590	0.4113003979
591	0.410941638
592	0.4107777348
593	0.4104250552
594	0.4102784631
595	0.4101231866
596	0.4096598409
597	0.4093112753
598	0.4089210743
599	0.4087361141
600	0.4083831312
601	0.4081596244
602	0.4077989102
603	0.407587689
604	0.4072455984
605	0.4072247197
606	0.4068492999
607	0.4065954236
608	0.4064869698
609	0.4062268527
610	0.4058362973
611	0.4056441686
612	0.4053244298
613	0.4050356389
614	0.4050101327
615	0.4048182682
616	0.404467244
617	0.4042808577
618	0.4038712985
619	0.4032067269
620	0.4030668238
621	0.4030160949
622	0.4026556391
623	0.4023647225
624	0.4023507652
625	0.4022079662
626	0.40219485
627	0.4020662394
628	0.4018397376
629	0.4014767333
630	0.4010102844
631	0.400881416
632	0.400828784
633	0.400514801
634	0.4004925819
635	0.4003196699
636	0.4001866465
637	0.3998019225
638	0.3997829213
639	0.3994262087
640	0.3993971747
641	0.3992926632
642	0.3992752211
643	0.3991860435
644	0.3987743089
645	0.3983673833
646	0.3979713078
647	0.397952519
648	0.3976305133
649	0.3974154417
650	0.3971594028
651	0.3969947906
652	0.3967826992
653	0.3966915433
654	0.3964811536
655	0.3960639345
656	0.3957125451
657	0.3954164923
658	0.3951765403
659	0.395048196
660	0.3948094827
661	0.3944915392
662	0.394471167
663	0.394033774
664	0.3939510902
665	0.3939333087
666	0.3937012592
667	0.3934899973
668	0.3934154782
669	0.3931104849
670	0.3929826193
671	0.3928581027
672	0.3928362651
673	0.3924796904
674	0.3922475511
675	0.39195133
676	0.3917853144
677	0.3913964797
678	0.3912616852
679	0.3910085866
680	0.3906742763
681	0.3905322206
682	0.3904071839
683	0.3899974781
684	0.3895291745
685	0.3893027526
686	0.3892057367
687	0.3888706385
688	0.3886940889
689	0.3886802257
690	0.3885395859
691	0.3883180994
692	0.3882121497
693	0.3882004637
694	0.3879869588
695	0.3876007306
696	0.38727208
697	0.3871666573
698	0.3870379329
699	0.3867872589
700	0.3865565028
701	0.3865270899
702	0.3863015391
703	0.3859796856
704	0.3856310798
705	0.3853105801
706	0.3850946581
707	0.3849100534
708	0.384730135
709	0.3846243816
710	0.384492878
711	0.3844656962
712	0.3840325891
713	0.383895775
714	0.383636756
715	0.3833240245
716	0.3830542792
717	0.3826995705
718	0.3824122979
719	0.3823324228
720	0.3818635672
721	0.3815159921
722	0.381237665
723	0.3811602211
724	0.3809157869
725	0.3806943647
726	0.3805709033
727	0.3804377338
728	0.3803342102
729	0.3801128044
730	0.379856028
731	0.3795540071
732	0.3793524536
733	0.379127323
734	0.3788686483
735	0.3787198743
736	0.3785086589
737	0.3784928578
738	0.3782462375
739	0.3779899026
740	0.3777380876
741	0.3774089555
742	0.3773349113
743	0.3769655494
744	0.3764495482
745	0.3763311234
746	0.3762464703
747	0.3760074233
748	0.3757445899
749	0.3754750841
750	0.3754605044
751	0.3752331372
752	0.3752117316
753	0.3750366324
754	0.3750211547
755	0.374778553
756	0.3745947474
757	0.374466523
758	0.3743246627
759	0.3741328948
760	0.3739289198
761	0.3734285349
762	0.3732183987
763	0.373084877
764	0.372712126
765	0.3725868826
766	0.3724872801
767	0.3723319105
768	0.3719870071
769	0.3719467328
770	0.3719356568
771	0.3717602457
772	0.3716410807
773	0.3715832419
774	0.3714578401
775	0.3711835992
776	0.3710660605
777	0.3709288291
778	0.3707160319
779	0.3703942008
780	0.3702205872
781	0.3699249069
782	0.3697002998
783	0.3696500235
784	0.3694640436
785	0.3692916691
786	0.3690712383
787	0.3688775159
788	0.3686838459
789	0.3684733225
790	0.368455321
791	0.3682581154
792	0.36810233
793	0.3679341615
794	0.367533467
795	0.367377624
796	0.3673691054
797	0.3672713201
798	0.3670126639
799	0.3667672674
800	0.3666606984
801	0.3664114661
802	0.366360415
803	0.366050144
804	0.3659480436
805	0.3657559728
806	0.3655924971
807	0.3654027732
808	0.3651834907
809	0.3651673636
810	0.3648482677
811	0.3646204485
812	0.3643852437
813	0.3641590276
814	0.3639655784
815	0.3639390083
816	0.363924347
817	0.3638165884
818	0.3636064491
819	0.3633320993
820	0.3632956676
821	0.3632825503
822	0.3628832533
823	0.3628754403
824	0.3628590742
825	0.362778876
826	0.3625079703
827	0.3622378555
828	0.3617901576
829	0.3615581371
830	0.3613936217
831	0.3610851153
832	0.3608912688
833	0.3606771689
834	0.3604394086
835	0.3603444592
836	0.360334873
837	0.3600254807
838	0.3598295975
839	0.359426705
840	0.359210064
841	0.3588849447
842	0.358645307
843	0.3583653941
844	0.3580670247
845	0.3577934918
846	0.3576520851
847	0.357440398
848	0.3573714844
849	0.3571589324
850	0.3568065031
851	0.3566620013
852	0.3565072895
853	0.3563892721
854	0.3560695217
855	0.3560590293
856	0.3559168583
857	0.3555764783
858	0.3553453651
859	0.3551003648
860	0.3550180985
861	0.3547702188
862	0.3544082144
863	0.3542339318
864	0.3540459486
865	0.354015138
866	0.3539414832
867	0.3539203013
868	0.3536072862
869	0.3532309854
870	0.3528405801
871	0.3527288297
872	0.3523696424
873	0.3520618567
874	0.3518762154
875	0.3516240319
876	0.3513616883
877	0.3511991479
878	0.3510073416
879	0.3509947006
880	0.3509508211
881	0.3506344616
882	0.3502202416
883	0.3500222731
884	0.3498844427
885	0.3498617181
886	0.3497450334
887	0.3493830629
888	0.349211698
889	0.3492030563
890	0.3490294712
891	0.3489236475
892	0.3487913816
893	0.3484999462
894	0.348171267
895	0.3479764994
896	0.3477564106
897	0.347583037
898	0.3473664074
899	0.3471894084
900	0.3470106991
901	0.3468438359
902	0.3465941568
903	0.3463681617
904	0.3461375564
905	0.3460384589
906	0.3457319549
907	0.3455815393
908	0.3453844328
909	0.3451571921
910	0.3450358597
911	0.3448275691
912	0.3446896147
913	0.3442756948
914	0.3441399548
915	0.3439325814
916	0.3435266556
917	0.3433425541
918	0.3431930563
919	0.3431354207
920	0.3431238833
921	0.342972378
922	0.3427202164
923	0.3426617921
924	0.342555004
925	0.3422739414
926	0.3419909372
927	0.3417856813
928	0.3414245185
929	0.3413621198
930	0.3412656369
931	0.3409959186
932	0.3407517056
933	0.3407442353
934	0.340268807
935	0.3400911108
936	0.3399963312
937	0.3399420191
938	0.3395656527
939	0.3395552087
940	0.3390896503
941	0.3388688927
942	0.3388580785
943	0.3386983416
944	0.3384891608
945	0.3382417057
946	0.3380132278
947	0.3378108479
948	0.3376390323
949	0.3375277201
950	0.337052446
951	0.3367511211
952	0.3366932096
953	0.3364279349
954	0.3362242262
955	0.336008921
956	0.3356090517
957	0.3354784357
958	0.3354545398
959	0.3351972683
960	0.3348954004
961	0.3348875474
962	0.3343880814
963	0.3342953448
964	0.3340309952
965	0.3336353235
966	0.3333794805
967	0.3331001496
968	0.3329239089
969	0.3326850153
970	0.3325176117
971	0.3322871472
972	0.3319360583
973	0.3317654886
974	0.3316618618
975	0.3312322899
976	0.3311181356
977	0.330906444
978	0.3306379998
979	0.3302635372
980	0.3300445655
981	0.3298316903
982	0.3295373404
983	0.3293716074
984	0.3291856638
985	0.3288973344
986	0.3287065478
987	0.3285577255
988	0.3284794407
989	0.3282325377
990	0.328204406
991	0.3281376896
992	0.3277874613
993	0.3275049155
994	0.3274260034
995	0.327151801
996	0.3269756376
997	0.3267437985
998	0.326716156
999	0.3264124143
